Email,Name,Department,MealSwipes,Month
venus9041@sfasu.edu,Venus,EarthSci,460,Nov
lars@sfasu.edu,Lars,Physics,163,Dec
tanner@sfasu.edu,Tanner,CompSci,290,Dec
liberty4355@sfasu.edu,Liberty,Nursing,99,Dec
allen@sfasu.edu,Allen,CompSci,481,Dec
carolyn@sfasu.edu,Carolyn,Nursing,383,Dec
wing576@sfasu.edu,Wing,Chemistry,304,Dec
josephine7259@sfasu.edu,Josephine,Physics,325,Dec
wing@sfasu.edu,Wing,Nursing,136,Nov
inga5561@sfasu.edu,Inga,Mathematics,88,Oct
macaulay9018@sfasu.edu,Macaulay,CompSci,443,Oct
kerry2288@sfasu.edu,Kerry,CompSci,331,Nov
raymond934@sfasu.edu,Raymond,EarthSci,224,Dec
shad9402@sfasu.edu,Shad,Physics,36,Nov
davis@sfasu.edu,Davis,EarthSci,288,Dec
wing998@sfasu.edu,Wing,Physics,495,Dec
macon1257@sfasu.edu,Macon,CompSci,401,Oct
robert235@sfasu.edu,Robert,EarthSci,330,Dec
mikayla@sfasu.edu,Mikayla,Chemistry,400,Nov
merrill9475@sfasu.edu,Merrill,Biology,116,Nov
kyla@sfasu.edu,Kyla,Mathematics,317,Dec
quinn@sfasu.edu,Quinn,Mathematics,483,Nov
ayanna3387@sfasu.edu,Ayanna,Nursing,134,Oct
jacob9654@sfasu.edu,Jacob,Physics,381,Oct
alfonso5354@sfasu.edu,Alfonso,EarthSci,63,Nov
wing3389@sfasu.edu,Wing,Biology,413,Dec
raymond5@sfasu.edu,Raymond,CompSci,497,Oct
tad@sfasu.edu,Tad,Biology,218,Oct
jade335@sfasu.edu,Jade,EarthSci,462,Nov
wynne6107@sfasu.edu,Wynne,Nursing,329,Nov
amity@sfasu.edu,Amity,Chemistry,326,Oct
roth@sfasu.edu,Roth,EarthSci,496,Nov
branden1487@sfasu.edu,Branden,CompSci,305,Dec
sierra@sfasu.edu,Sierra,Nursing,63,Oct
juliet8505@sfasu.edu,Juliet,Physics,348,Oct
galena9521@sfasu.edu,Galena,Biology,179,Dec
emmanuel@sfasu.edu,Emmanuel,EarthSci,325,Oct
lawrence6348@sfasu.edu,Lawrence,Mathematics,445,Nov
raymond339@sfasu.edu,Raymond,EarthSci,262,Dec
kristen821@sfasu.edu,Kristen,EarthSci,149,Oct
mary9068@sfasu.edu,Mary,CompSci,152,Nov
stacy9784@sfasu.edu,Stacy,EarthSci,65,Nov
dane2318@sfasu.edu,Dane,Mathematics,124,Dec
edan7988@sfasu.edu,Edan,EarthSci,215,Nov
chaney1096@sfasu.edu,Chaney,EarthSci,428,Nov
pandora@sfasu.edu,Pandora,Chemistry,194,Dec
daquan@sfasu.edu,Daquan,Mathematics,156,Nov
jade354@sfasu.edu,Jade,Chemistry,302,Dec
jade@sfasu.edu,Jade,Chemistry,310,Nov
thaddeus@sfasu.edu,Thaddeus,Biology,326,Oct
jemima@sfasu.edu,Jemima,EarthSci,369,Dec
oleg@sfasu.edu,Oleg,CompSci,264,Nov
robert@sfasu.edu,Robert,Physics,285,Dec
jaquelyn4321@sfasu.edu,Jaquelyn,Physics,146,Oct
carla@sfasu.edu,Carla,CompSci,364,Dec
quinlan3556@sfasu.edu,Quinlan,CompSci,399,Dec
portia8004@sfasu.edu,Portia,Chemistry,424,Dec
keane@sfasu.edu,Keane,Chemistry,52,Oct
quin6133@sfasu.edu,Quin,Nursing,452,Nov
jordan8373@sfasu.edu,Jordan,Chemistry,206,Oct
adena7177@sfasu.edu,Adena,Physics,414,Dec
xavier@sfasu.edu,Xavier,Physics,437,Nov
